City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,<tr>,<td>,</td>,</tr>,<tr><td>City_ID</td><td>City</td><td>Cloudiness</td><td>Country</td><td>Date</td><td>Humidity</td><td>Lat</td><td>Lng</td><td>Max Temp</td><td>Wind Speed</td></tr>,,,,,<tr><td>City_ID</td><td>City</td><td>Cloudiness</td><td>Country</td><td>Date</td><td>Humidity</td><td>Lat</td><td>Lng</td><td>Max Temp</td><td>Wind Speed</td></tr>
10,Luziania,90,BR, 03/15/2021,88,-16.2525,-47.9503,72,8.05,<tr>,<td>,</td>,</tr>,<tr><td>10</td><td>Luziania</td><td>90</td><td>BR</td><td> 03/15/2021</td><td>88</td><td>-16.2525</td><td>-47.9503</td><td>72</td><td>8.05</td></tr>,,,,,<tr><td>10</td><td>Luziania</td><td>90</td><td>BR</td><td> 03/15/2021</td><td>88</td><td>-16.2525</td><td>-47.9503</td><td>72</td><td>8.05</td></tr>
11,Kapaa,40,US, 03/15/2021,83,22.0752,-159.319,73.4,9.22,<tr>,<td>,</td>,</tr>,<tr><td>11</td><td>Kapaa</td><td>40</td><td>US</td><td> 03/15/2021</td><td>83</td><td>22.0752</td><td>-159.319</td><td>73.4</td><td>9.22</td></tr>,,,,,<tr><td>11</td><td>Kapaa</td><td>40</td><td>US</td><td> 03/15/2021</td><td>83</td><td>22.0752</td><td>-159.319</td><td>73.4</td><td>9.22</td></tr>
12,Omboue,100,GA, 03/15/2021,91,-1.5746,9.2618,75.27,5.57,<tr>,<td>,</td>,</tr>,<tr><td>12</td><td>Omboue</td><td>100</td><td>GA</td><td> 03/15/2021</td><td>91</td><td>-1.5746</td><td>9.2618</td><td>75.27</td><td>5.57</td></tr>,,,,,<tr><td>12</td><td>Omboue</td><td>100</td><td>GA</td><td> 03/15/2021</td><td>91</td><td>-1.5746</td><td>9.2618</td><td>75.27</td><td>5.57</td></tr>
13,Coahuayana,1,MX, 03/15/2021,30,18.7333,-103.6833,84.2,6.91,<tr>,<td>,</td>,</tr>,<tr><td>13</td><td>Coahuayana</td><td>1</td><td>MX</td><td> 03/15/2021</td><td>30</td><td>18.7333</td><td>-103.6833</td><td>84.2</td><td>6.91</td></tr>,,,,,<tr><td>13</td><td>Coahuayana</td><td>1</td><td>MX</td><td> 03/15/2021</td><td>30</td><td>18.7333</td><td>-103.6833</td><td>84.2</td><td>6.91</td></tr>
14,Porto Walter,69,BR, 03/15/2021,49,-8.2686,-72.7439,89.6,3.09,<tr>,<td>,</td>,</tr>,<tr><td>14</td><td>Porto Walter</td><td>69</td><td>BR</td><td> 03/15/2021</td><td>49</td><td>-8.2686</td><td>-72.7439</td><td>89.6</td><td>3.09</td></tr>,,,,,<tr><td>14</td><td>Porto Walter</td><td>69</td><td>BR</td><td> 03/15/2021</td><td>49</td><td>-8.2686</td><td>-72.7439</td><td>89.6</td><td>3.09</td></tr>
15,Punta Arenas,20,CL, 03/15/2021,49,-53.15,-70.9167,48.2,31.07,<tr>,<td>,</td>,</tr>,<tr><td>15</td><td>Punta Arenas</td><td>20</td><td>CL</td><td> 03/15/2021</td><td>49</td><td>-53.15</td><td>-70.9167</td><td>48.2</td><td>31.07</td></tr>,,,,,<tr><td>15</td><td>Punta Arenas</td><td>20</td><td>CL</td><td> 03/15/2021</td><td>49</td><td>-53.15</td><td>-70.9167</td><td>48.2</td><td>31.07</td></tr>
16,Avera,90,US, 03/15/2021,40,33.194,-82.5271,71.6,14.97,<tr>,<td>,</td>,</tr>,<tr><td>16</td><td>Avera</td><td>90</td><td>US</td><td> 03/15/2021</td><td>40</td><td>33.194</td><td>-82.5271</td><td>71.6</td><td>14.97</td></tr>,,,,,<tr><td>16</td><td>Avera</td><td>90</td><td>US</td><td> 03/15/2021</td><td>40</td><td>33.194</td><td>-82.5271</td><td>71.6</td><td>14.97</td></tr>
17,Mataura,39,NZ, 03/15/2021,91,-46.1927,168.8643,48,7,<tr>,<td>,</td>,</tr>,<tr><td>17</td><td>Mataura</td><td>39</td><td>NZ</td><td> 03/15/2021</td><td>91</td><td>-46.1927</td><td>168.8643</td><td>48</td><td>7</td></tr>,,,,,<tr><td>17</td><td>Mataura</td><td>39</td><td>NZ</td><td> 03/15/2021</td><td>91</td><td>-46.1927</td><td>168.8643</td><td>48</td><td>7</td></tr>
18,Saskylakh,92,RU, 03/15/2021,84,71.9167,114.0833,-24.11,4.65,<tr>,<td>,</td>,</tr>,<tr><td>18</td><td>Saskylakh</td><td>92</td><td>RU</td><td> 03/15/2021</td><td>84</td><td>71.9167</td><td>114.0833</td><td>-24.11</td><td>4.65</td></tr>,,,,,<tr><td>18</td><td>Saskylakh</td><td>92</td><td>RU</td><td> 03/15/2021</td><td>84</td><td>71.9167</td><td>114.0833</td><td>-24.11</td><td>4.65</td></tr>
19,Atuona,46,PF, 03/15/2021,69,-9.8,-139.0333,79.92,11.95,<tr>,<td>,</td>,</tr>,<tr><td>19</td><td>Atuona</td><td>46</td><td>PF</td><td> 03/15/2021</td><td>69</td><td>-9.8</td><td>-139.0333</td><td>79.92</td><td>11.95</td></tr>,,,,,<tr><td>19</td><td>Atuona</td><td>46</td><td>PF</td><td> 03/15/2021</td><td>69</td><td>-9.8</td><td>-139.0333</td><td>79.92</td><td>11.95</td></tr>
20,Urengoy,92,RU, 03/15/2021,95,65.9667,78.3667,6.64,8.16,<tr>,<td>,</td>,</tr>,<tr><td>20</td><td>Urengoy</td><td>92</td><td>RU</td><td> 03/15/2021</td><td>95</td><td>65.9667</td><td>78.3667</td><td>6.64</td><td>8.16</td></tr>,,,,,<tr><td>20</td><td>Urengoy</td><td>92</td><td>RU</td><td> 03/15/2021</td><td>95</td><td>65.9667</td><td>78.3667</td><td>6.64</td><td>8.16</td></tr>
21,Buraydah,40,SA, 03/15/2021,36,26.326,43.975,78.8,6.91,<tr>,<td>,</td>,</tr>,<tr><td>21</td><td>Buraydah</td><td>40</td><td>SA</td><td> 03/15/2021</td><td>36</td><td>26.326</td><td>43.975</td><td>78.8</td><td>6.91</td></tr>,,,,,<tr><td>21</td><td>Buraydah</td><td>40</td><td>SA</td><td> 03/15/2021</td><td>36</td><td>26.326</td><td>43.975</td><td>78.8</td><td>6.91</td></tr>
22,Dikson,85,RU, 03/15/2021,87,73.5069,80.5464,-26.97,7.49,<tr>,<td>,</td>,</tr>,<tr><td>22</td><td>Dikson</td><td>85</td><td>RU</td><td> 03/15/2021</td><td>87</td><td>73.5069</td><td>80.5464</td><td>-26.97</td><td>7.49</td></tr>,,,,,<tr><td>22</td><td>Dikson</td><td>85</td><td>RU</td><td> 03/15/2021</td><td>87</td><td>73.5069</td><td>80.5464</td><td>-26.97</td><td>7.49</td></tr>
23,Mar Del Plata,0,AR, 03/15/2021,57,-38.0023,-57.5575,78.8,9.22,<tr>,<td>,</td>,</tr>,<tr><td>23</td><td>Mar Del Plata</td><td>0</td><td>AR</td><td> 03/15/2021</td><td>57</td><td>-38.0023</td><td>-57.5575</td><td>78.8</td><td>9.22</td></tr>,,,,,<tr><td>23</td><td>Mar Del Plata</td><td>0</td><td>AR</td><td> 03/15/2021</td><td>57</td><td>-38.0023</td><td>-57.5575</td><td>78.8</td><td>9.22</td></tr>
24,Port Hardy,20,CA, 03/15/2021,75,50.6996,-127.4199,41,5.75,<tr>,<td>,</td>,</tr>,<tr><td>24</td><td>Port Hardy</td><td>20</td><td>CA</td><td> 03/15/2021</td><td>75</td><td>50.6996</td><td>-127.4199</td><td>41</td><td>5.75</td></tr>,,,,,<tr><td>24</td><td>Port Hardy</td><td>20</td><td>CA</td><td> 03/15/2021</td><td>75</td><td>50.6996</td><td>-127.4199</td><td>41</td><td>5.75</td></tr>
25,Rikitea,5,PF, 03/15/2021,71,-23.1203,-134.9692,80.76,1.86,<tr>,<td>,</td>,</tr>,<tr><td>25</td><td>Rikitea</td><td>5</td><td>PF</td><td> 03/15/2021</td><td>71</td><td>-23.1203</td><td>-134.9692</td><td>80.76</td><td>1.86</td></tr>,,,,,<tr><td>25</td><td>Rikitea</td><td>5</td><td>PF</td><td> 03/15/2021</td><td>71</td><td>-23.1203</td><td>-134.9692</td><td>80.76</td><td>1.86</td></tr>
26,Talnakh,5,RU, 03/15/2021,82,69.4865,88.3972,-33,0.85,<tr>,<td>,</td>,</tr>,<tr><td>26</td><td>Talnakh</td><td>5</td><td>RU</td><td> 03/15/2021</td><td>82</td><td>69.4865</td><td>88.3972</td><td>-33</td><td>0.85</td></tr>,,,,,<tr><td>26</td><td>Talnakh</td><td>5</td><td>RU</td><td> 03/15/2021</td><td>82</td><td>69.4865</td><td>88.3972</td><td>-33</td><td>0.85</td></tr>
27,Upernavik,14,GL, 03/15/2021,89,72.7868,-56.1549,-6.14,11.92,<tr>,<td>,</td>,</tr>,<tr><td>27</td><td>Upernavik</td><td>14</td><td>GL</td><td> 03/15/2021</td><td>89</td><td>72.7868</td><td>-56.1549</td><td>-6.14</td><td>11.92</td></tr>,,,,,<tr><td>27</td><td>Upernavik</td><td>14</td><td>GL</td><td> 03/15/2021</td><td>89</td><td>72.7868</td><td>-56.1549</td><td>-6.14</td><td>11.92</td></tr>
28,Sorong,100,ID, 03/15/2021,76,-0.8833,131.25,81.82,6.82,<tr>,<td>,</td>,</tr>,<tr><td>28</td><td>Sorong</td><td>100</td><td>ID</td><td> 03/15/2021</td><td>76</td><td>-0.8833</td><td>131.25</td><td>81.82</td><td>6.82</td></tr>,,,,,<tr><td>28</td><td>Sorong</td><td>100</td><td>ID</td><td> 03/15/2021</td><td>76</td><td>-0.8833</td><td>131.25</td><td>81.82</td><td>6.82</td></tr>
29,Aviles,40,ES, 03/15/2021,87,43.5547,-5.9248,50,3.44,<tr>,<td>,</td>,</tr>,<tr><td>29</td><td>Aviles</td><td>40</td><td>ES</td><td> 03/15/2021</td><td>87</td><td>43.5547</td><td>-5.9248</td><td>50</td><td>3.44</td></tr>,,,,,<tr><td>29</td><td>Aviles</td><td>40</td><td>ES</td><td> 03/15/2021</td><td>87</td><td>43.5547</td><td>-5.9248</td><td>50</td><td>3.44</td></tr>
30,Sotouboua,71,TG, 03/15/2021,35,8.5667,0.9833,86.41,2.73,<tr>,<td>,</td>,</tr>,<tr><td>30</td><td>Sotouboua</td><td>71</td><td>TG</td><td> 03/15/2021</td><td>35</td><td>8.5667</td><td>0.9833</td><td>86.41</td><td>2.73</td></tr>,,,,,<tr><td>30</td><td>Sotouboua</td><td>71</td><td>TG</td><td> 03/15/2021</td><td>35</td><td>8.5667</td><td>0.9833</td><td>86.41</td><td>2.73</td></tr>
31,Mahebourg,20,MU, 03/15/2021,83,-20.4081,57.7,78.8,5.75,<tr>,<td>,</td>,</tr>,<tr><td>31</td><td>Mahebourg</td><td>20</td><td>MU</td><td> 03/15/2021</td><td>83</td><td>-20.4081</td><td>57.7</td><td>78.8</td><td>5.75</td></tr>,,,,,<tr><td>31</td><td>Mahebourg</td><td>20</td><td>MU</td><td> 03/15/2021</td><td>83</td><td>-20.4081</td><td>57.7</td><td>78.8</td><td>5.75</td></tr>
32,Adrar,0,MR, 03/15/2021,18,20.5022,-10.0711,78.19,10.13,<tr>,<td>,</td>,</tr>,<tr><td>32</td><td>Adrar</td><td>0</td><td>MR</td><td> 03/15/2021</td><td>18</td><td>20.5022</td><td>-10.0711</td><td>78.19</td><td>10.13</td></tr>,,,,,<tr><td>32</td><td>Adrar</td><td>0</td><td>MR</td><td> 03/15/2021</td><td>18</td><td>20.5022</td><td>-10.0711</td><td>78.19</td><td>10.13</td></tr>
33,Leh,90,IN, 03/15/2021,74,34.1667,77.5833,23.18,5.14,<tr>,<td>,</td>,</tr>,<tr><td>33</td><td>Leh</td><td>90</td><td>IN</td><td> 03/15/2021</td><td>74</td><td>34.1667</td><td>77.5833</td><td>23.18</td><td>5.14</td></tr>,,,,,<tr><td>33</td><td>Leh</td><td>90</td><td>IN</td><td> 03/15/2021</td><td>74</td><td>34.1667</td><td>77.5833</td><td>23.18</td><td>5.14</td></tr>
34,Sidi Ali,0,DZ, 03/15/2021,63,36.0998,0.4206,53.42,8.1,<tr>,<td>,</td>,</tr>,<tr><td>34</td><td>Sidi Ali</td><td>0</td><td>DZ</td><td> 03/15/2021</td><td>63</td><td>36.0998</td><td>0.4206</td><td>53.42</td><td>8.1</td></tr>,,,,,<tr><td>34</td><td>Sidi Ali</td><td>0</td><td>DZ</td><td> 03/15/2021</td><td>63</td><td>36.0998</td><td>0.4206</td><td>53.42</td><td>8.1</td></tr>
35,Hirara,100,JP, 03/15/2021,75,24.8,125.2833,70.79,10.27,<tr>,<td>,</td>,</tr>,<tr><td>35</td><td>Hirara</td><td>100</td><td>JP</td><td> 03/15/2021</td><td>75</td><td>24.8</td><td>125.2833</td><td>70.79</td><td>10.27</td></tr>,,,,,<tr><td>35</td><td>Hirara</td><td>100</td><td>JP</td><td> 03/15/2021</td><td>75</td><td>24.8</td><td>125.2833</td><td>70.79</td><td>10.27</td></tr>
36,Taoudenni,0,ML, 03/15/2021,18,22.6783,-3.9836,77.61,12.41,<tr>,<td>,</td>,</tr>,<tr><td>36</td><td>Taoudenni</td><td>0</td><td>ML</td><td> 03/15/2021</td><td>18</td><td>22.6783</td><td>-3.9836</td><td>77.61</td><td>12.41</td></tr>,,,,,<tr><td>36</td><td>Taoudenni</td><td>0</td><td>ML</td><td> 03/15/2021</td><td>18</td><td>22.6783</td><td>-3.9836</td><td>77.61</td><td>12.41</td></tr>
37,Taksimo,0,RU, 03/15/2021,76,56.3444,114.8794,-8.25,0.87,<tr>,<td>,</td>,</tr>,<tr><td>37</td><td>Taksimo</td><td>0</td><td>RU</td><td> 03/15/2021</td><td>76</td><td>56.3444</td><td>114.8794</td><td>-8.25</td><td>0.87</td></tr>,,,,,<tr><td>37</td><td>Taksimo</td><td>0</td><td>RU</td><td> 03/15/2021</td><td>76</td><td>56.3444</td><td>114.8794</td><td>-8.25</td><td>0.87</td></tr>
38,Kondoa,30,TZ, 03/15/2021,80,-4.9,35.7833,62.44,3.67,<tr>,<td>,</td>,</tr>,<tr><td>38</td><td>Kondoa</td><td>30</td><td>TZ</td><td> 03/15/2021</td><td>80</td><td>-4.9</td><td>35.7833</td><td>62.44</td><td>3.67</td></tr>,,,,,<tr><td>38</td><td>Kondoa</td><td>30</td><td>TZ</td><td> 03/15/2021</td><td>80</td><td>-4.9</td><td>35.7833</td><td>62.44</td><td>3.67</td></tr>
39,Butaritari,84,KI, 03/15/2021,77,3.0707,172.7902,81.3,12.8,<tr>,<td>,</td>,</tr>,<tr><td>39</td><td>Butaritari</td><td>84</td><td>KI</td><td> 03/15/2021</td><td>77</td><td>3.0707</td><td>172.7902</td><td>81.3</td><td>12.8</td></tr>,,,,,<tr><td>39</td><td>Butaritari</td><td>84</td><td>KI</td><td> 03/15/2021</td><td>77</td><td>3.0707</td><td>172.7902</td><td>81.3</td><td>12.8</td></tr>
40,Te Anau,80,NZ, 03/15/2021,82,-45.4167,167.7167,46.96,4.56,<tr>,<td>,</td>,</tr>,<tr><td>40</td><td>Te Anau</td><td>80</td><td>NZ</td><td> 03/15/2021</td><td>82</td><td>-45.4167</td><td>167.7167</td><td>46.96</td><td>4.56</td></tr>,,,,,<tr><td>40</td><td>Te Anau</td><td>80</td><td>NZ</td><td> 03/15/2021</td><td>82</td><td>-45.4167</td><td>167.7167</td><td>46.96</td><td>4.56</td></tr>
41,Thinadhoo,100,MV, 03/15/2021,71,0.5333,72.9333,83.16,7.05,<tr>,<td>,</td>,</tr>,<tr><td>41</td><td>Thinadhoo</td><td>100</td><td>MV</td><td> 03/15/2021</td><td>71</td><td>0.5333</td><td>72.9333</td><td>83.16</td><td>7.05</td></tr>,,,,,<tr><td>41</td><td>Thinadhoo</td><td>100</td><td>MV</td><td> 03/15/2021</td><td>71</td><td>0.5333</td><td>72.9333</td><td>83.16</td><td>7.05</td></tr>
42,Hilo,1,US, 03/15/2021,57,19.7297,-155.09,80.6,3.44,<tr>,<td>,</td>,</tr>,<tr><td>42</td><td>Hilo</td><td>1</td><td>US</td><td> 03/15/2021</td><td>57</td><td>19.7297</td><td>-155.09</td><td>80.6</td><td>3.44</td></tr>,,,,,<tr><td>42</td><td>Hilo</td><td>1</td><td>US</td><td> 03/15/2021</td><td>57</td><td>19.7297</td><td>-155.09</td><td>80.6</td><td>3.44</td></tr>
43,Hermanus,62,ZA, 03/15/2021,95,-34.4187,19.2345,62.01,8.25,<tr>,<td>,</td>,</tr>,<tr><td>43</td><td>Hermanus</td><td>62</td><td>ZA</td><td> 03/15/2021</td><td>95</td><td>-34.4187</td><td>19.2345</td><td>62.01</td><td>8.25</td></tr>,,,,,<tr><td>43</td><td>Hermanus</td><td>62</td><td>ZA</td><td> 03/15/2021</td><td>95</td><td>-34.4187</td><td>19.2345</td><td>62.01</td><td>8.25</td></tr>
44,Yellowknife,1,CA, 03/15/2021,55,62.456,-114.3525,1.4,4.61,<tr>,<td>,</td>,</tr>,<tr><td>44</td><td>Yellowknife</td><td>1</td><td>CA</td><td> 03/15/2021</td><td>55</td><td>62.456</td><td>-114.3525</td><td>1.4</td><td>4.61</td></tr>,,,,,<tr><td>44</td><td>Yellowknife</td><td>1</td><td>CA</td><td> 03/15/2021</td><td>55</td><td>62.456</td><td>-114.3525</td><td>1.4</td><td>4.61</td></tr>
45,Ushuaia,75,AR, 03/15/2021,61,-54.8,-68.3,46.4,40.29,<tr>,<td>,</td>,</tr>,<tr><td>45</td><td>Ushuaia</td><td>75</td><td>AR</td><td> 03/15/2021</td><td>61</td><td>-54.8</td><td>-68.3</td><td>46.4</td><td>40.29</td></tr>,,,,,<tr><td>45</td><td>Ushuaia</td><td>75</td><td>AR</td><td> 03/15/2021</td><td>61</td><td>-54.8</td><td>-68.3</td><td>46.4</td><td>40.29</td></tr>
46,New Norfolk,84,AU, 03/15/2021,74,-42.7826,147.0587,48.99,1.23,<tr>,<td>,</td>,</tr>,<tr><td>46</td><td>New Norfolk</td><td>84</td><td>AU</td><td> 03/15/2021</td><td>74</td><td>-42.7826</td><td>147.0587</td><td>48.99</td><td>1.23</td></tr>,,,,,<tr><td>46</td><td>New Norfolk</td><td>84</td><td>AU</td><td> 03/15/2021</td><td>74</td><td>-42.7826</td><td>147.0587</td><td>48.99</td><td>1.23</td></tr>
47,Busselton,5,AU, 03/15/2021,53,-33.65,115.3333,64.99,5.01,<tr>,<td>,</td>,</tr>,<tr><td>47</td><td>Busselton</td><td>5</td><td>AU</td><td> 03/15/2021</td><td>53</td><td>-33.65</td><td>115.3333</td><td>64.99</td><td>5.01</td></tr>,,,,,<tr><td>47</td><td>Busselton</td><td>5</td><td>AU</td><td> 03/15/2021</td><td>53</td><td>-33.65</td><td>115.3333</td><td>64.99</td><td>5.01</td></tr>
48,Tuktoyaktuk,20,CA, 03/15/2021,84,69.4541,-133.0374,-5.8,20.71,<tr>,<td>,</td>,</tr>,<tr><td>48</td><td>Tuktoyaktuk</td><td>20</td><td>CA</td><td> 03/15/2021</td><td>84</td><td>69.4541</td><td>-133.0374</td><td>-5.8</td><td>20.71</td></tr>,,,,,<tr><td>48</td><td>Tuktoyaktuk</td><td>20</td><td>CA</td><td> 03/15/2021</td><td>84</td><td>69.4541</td><td>-133.0374</td><td>-5.8</td><td>20.71</td></tr>
49,Kahului,1,US, 03/15/2021,78,20.8947,-156.47,75.99,3.06,<tr>,<td>,</td>,</tr>,<tr><td>49</td><td>Kahului</td><td>1</td><td>US</td><td> 03/15/2021</td><td>78</td><td>20.8947</td><td>-156.47</td><td>75.99</td><td>3.06</td></tr>,,,,,<tr><td>49</td><td>Kahului</td><td>1</td><td>US</td><td> 03/15/2021</td><td>78</td><td>20.8947</td><td>-156.47</td><td>75.99</td><td>3.06</td></tr>
50,Tessalit,0,ML, 03/15/2021,17,20.1986,1.0114,78.24,10.18,<tr>,<td>,</td>,</tr>,<tr><td>50</td><td>Tessalit</td><td>0</td><td>ML</td><td> 03/15/2021</td><td>17</td><td>20.1986</td><td>1.0114</td><td>78.24</td><td>10.18</td></tr>,,,,,<tr><td>50</td><td>Tessalit</td><td>0</td><td>ML</td><td> 03/15/2021</td><td>17</td><td>20.1986</td><td>1.0114</td><td>78.24</td><td>10.18</td></tr>
51,Palotina,35,BR, 03/15/2021,47,-24.2839,-53.84,86,5.28,<tr>,<td>,</td>,</tr>,<tr><td>51</td><td>Palotina</td><td>35</td><td>BR</td><td> 03/15/2021</td><td>47</td><td>-24.2839</td><td>-53.84</td><td>86</td><td>5.28</td></tr>,,,,,<tr><td>51</td><td>Palotina</td><td>35</td><td>BR</td><td> 03/15/2021</td><td>47</td><td>-24.2839</td><td>-53.84</td><td>86</td><td>5.28</td></tr>
52,Brae,40,GB, 03/15/2021,87,60.3964,-1.353,35.6,4.61,<tr>,<td>,</td>,</tr>,<tr><td>52</td><td>Brae</td><td>40</td><td>GB</td><td> 03/15/2021</td><td>87</td><td>60.3964</td><td>-1.353</td><td>35.6</td><td>4.61</td></tr>,,,,,<tr><td>52</td><td>Brae</td><td>40</td><td>GB</td><td> 03/15/2021</td><td>87</td><td>60.3964</td><td>-1.353</td><td>35.6</td><td>4.61</td></tr>
53,Vaini,75,TO, 03/15/2021,89,-21.2,-175.2,78.8,6.91,<tr>,<td>,</td>,</tr>,<tr><td>53</td><td>Vaini</td><td>75</td><td>TO</td><td> 03/15/2021</td><td>89</td><td>-21.2</td><td>-175.2</td><td>78.8</td><td>6.91</td></tr>,,,,,<tr><td>53</td><td>Vaini</td><td>75</td><td>TO</td><td> 03/15/2021</td><td>89</td><td>-21.2</td><td>-175.2</td><td>78.8</td><td>6.91</td></tr>
54,Tlaltenango,20,MX, 03/15/2021,25,19.1667,-98.3333,78.8,9.01,<tr>,<td>,</td>,</tr>,<tr><td>54</td><td>Tlaltenango</td><td>20</td><td>MX</td><td> 03/15/2021</td><td>25</td><td>19.1667</td><td>-98.3333</td><td>78.8</td><td>9.01</td></tr>,,,,,<tr><td>54</td><td>Tlaltenango</td><td>20</td><td>MX</td><td> 03/15/2021</td><td>25</td><td>19.1667</td><td>-98.3333</td><td>78.8</td><td>9.01</td></tr>
